date,avgTemp
2022-08-17,21.3
2022-08-18,18.1
2022-08-19,21.8
2022-08-20,20.6
2022-08-21,17.0
2022-08-22,16.1
2022-08-23,13.8
2022-08-24,14.9
2022-08-25,16.6
2022-08-26,16.5
2022-08-27,18.5
2022-08-28,13.2
2022-08-29,12.0
2022-08-30,12.5
2022-08-31,11.5
2022-09-01,9.8
2022-09-02,9.6
2022-09-03,9.9
2022-09-04,9.6
2022-09-05,8.6
2022-09-06,12.2
2022-09-07,10.7
2022-09-08,10.2
2022-09-09,10.6
2022-09-10,10.8
2022-09-11,12.2
2022-09-12,12.6
2022-09-13,12.4
2022-09-14,10.5
2022-09-15,10.2
2022-09-16,11.0
2022-09-17,11.0
2022-09-18,9.8
2022-09-19,10.4
2022-09-20,8.5
2022-09-21,8.0
2022-09-22,8.1
2022-09-23,11.2
2022-09-24,11.5
2022-09-25,9.5
2022-09-26,10.5
2022-09-27,11.5
2022-09-28,11.1
2022-09-29,7.9
2022-09-30,7.9
2022-10-01,9.4
2022-10-02,9.5
2022-10-03,9.0
2022-10-04,9.3
2022-10-05,13.7
2022-10-06,13.0
2022-10-07,12.4
2022-10-08,9.7
2022-10-09,6.5
2022-10-10,9.7
2022-10-11,8.0
2022-10-12,3.8
2022-10-13,8.8
2022-10-14,8.7
2022-10-15,10.2
2022-10-16,10.5
2022-10-17,8.9
2022-10-18,6.7
2022-10-19,4.2
2022-10-20,3.0
2022-10-21,4.6
2022-10-22,5.5
2022-10-23,3.6
2022-10-24,6.6
2022-10-25,10.2
2022-10-26,7.5
2022-10-27,10.6
2022-10-28,11.9
2022-10-29,11.1
2022-10-30,4.3
2022-10-31,8.2
2022-11-01,8.9
2022-11-02,10.3
2022-11-03,7.1
2022-11-04,7.9
2022-11-05,7.8
2022-11-06,7.9
2022-11-07,8.2
2022-11-08,7.3
2022-11-09,9.4
2022-11-10,8.6
2022-11-11,13.4
2022-11-12,11.1
2022-11-13,1.4
2022-11-14,5.7
2022-11-15,4.7
2022-11-16,3.1
2022-11-17,0.7
2022-11-18,0.3
2022-11-19,0.5
2022-11-20,-0.3
2022-11-21,-1.3
2022-11-22,0.1
2022-11-23,-0.0
2022-11-24,0.7
2022-11-25,-0.2
2022-11-26,0.6
2022-11-27,0.4
2022-11-28,1.6
2022-11-29,2.0
2022-11-30,1.9
2022-12-01,0.1
2022-12-02,0.7
2022-12-03,-0.1
2022-12-04,-3.6
2022-12-05,-5.7
2022-12-06,-6.6
2022-12-07,-9.5
2022-12-08,-12.5
2022-12-09,-7.4
2022-12-10,-6.3
2022-12-11,-9.1
2022-12-12,-5.7
2022-12-13,-10.3
2022-12-14,-12.2
2022-12-15,-17.0
2022-12-16,-17.7
2022-12-17,-4.4
2022-12-18,0.6
2022-12-19,-2.5
2022-12-20,1.6
2022-12-21,3.5
2022-12-22,3.2
2022-12-23,-5.8
2022-12-24,-12.6
2022-12-25,-7.5
